Date,Close,Open,High,Low,Vol.,Change %
"Apr 28, 2022",165.70,167.40,167.40,164.80,275.14K,-1.02%
"Apr 27, 2022",167.40,168.70,168.70,166.40,277.05K,0.78%
"Apr 26, 2022",166.10,166.00,167.70,165.80,796.68K,0.00%
"Apr 25, 2022",166.10,166.90,167.80,165.90,137.41K,-1.07%
"Apr 24, 2022",167.90,167.90,169.20,167.00,380.19K,0.60%
"Apr 21, 2022",166.90,167.00,167.90,165.30,165.32K,1.21%
"Apr 20, 2022",164.90,164.40,168.00,163.50,231.81K,0.92%
"Apr 19, 2022",163.40,160.90,167.00,155.50,325.47K,3.03%
"Apr 18, 2022",158.60,163.40,163.40,158.50,380.93K,-1.92%
"Apr 17, 2022",161.70,165.10,166.80,161.70,298.32K,-2.00%
"Apr 13, 2022",165.00,166.10,166.20,163.30,340.92K,-0.90%
"Apr 12, 2022",166.50,169.00,169.00,165.00,205.81K,-0.95%
"Apr 11, 2022",168.10,170.60,170.60,167.90,153.29K,-0.71%
"Apr 10, 2022",169.30,170.00,172.80,168.40,208.60K,0.47%
"Apr 07, 2022",168.50,170.80,171.40,168.00,394.69K,-1.35%
"Apr 06, 2022",170.80,173.50,173.50,168.20,369.60K,-0.35%
"Apr 05, 2022",171.40,173.10,173.90,171.00,311.66K,-1.44%
"Apr 04, 2022",173.90,177.00,177.00,173.10,211.47K,-1.53%
"Apr 03, 2022",176.60,176.40,178.90,176.10,142.61K,0.23%
"Mar 31, 2022",176.20,178.90,178.90,175.00,417.60K,-0.34%
"Mar 30, 2022",176.80,179.50,179.50,176.50,270.63K,-0.28%
"Mar 29, 2022",177.30,178.10,179.90,177.00,288.86K,-0.39%
"Mar 28, 2022",178.00,182.00,182.90,177.50,544.78K,-1.71%
"Mar 27, 2022",181.10,182.90,183.00,180.70,133.72K,-0.66%
"Mar 24, 2022",182.30,183.00,184.00,181.30,731.15K,-0.44%
"Mar 23, 2022",183.10,186.30,188.10,182.60,259.70K,-1.08%
"Mar 22, 2022",185.10,180.60,187.90,179.30,611.00K,3.18%
"Mar 21, 2022",179.40,177.90,180.20,177.60,156.40K,0.84%
"Mar 20, 2022",177.90,181.80,182.30,177.10,270.94K,0.00%
"Mar 16, 2022",177.90,181.70,181.70,177.40,193.93K,-0.61%
"Mar 15, 2022",179.00,178.80,180.80,178.30,218.57K,0.22%
"Mar 14, 2022",178.60,182.00,182.00,177.80,294.04K,-1.49%
"Mar 13, 2022",181.30,179.80,182.40,178.70,226.71K,1.74%
"Mar 10, 2022",178.20,180.90,182.20,176.40,405.91K,-0.28%
"Mar 09, 2022",178.70,181.80,184.70,177.70,507.76K,0.68%
"Mar 08, 2022",177.50,176.70,179.90,170.50,536.30K,0.74%
"Mar 07, 2022",176.20,183.00,183.00,175.50,498.23K,-4.13%
"Mar 06, 2022",183.80,186.00,188.00,182.80,319.95K,-1.39%
"Mar 03, 2022",186.40,186.30,187.00,185.00,185.63K,-0.37%
